ESTADO,VESSEL NAME / NOMBRE DE LA NAVE,SHIPOWNER / PROPIETARIO,LICENSE / LICENCIA,LICENSE TYPE/ TIPO DE LICENCIA,VESSEL TYPE / TIPO DE EMBARCACIÓN - FISHING GEAR / ARTE DE PESCA,IMO,IRCS / LETRAS DE RADIO,NATIONAL REGISTER NUMBER / PATENTE DE NAVEGACION,LENGHT / ESLORA,GROSS TONNAGE / TONELAJE DE REGISTRO BRUTO (TRB),HOLD CAPACITY (M3) / CAPACIDAD DE BODEGA (M 3 ),VALID LICENSE DATE / FECHA DE VENCIMIENTO DE LA LICENCIA,link
VIGENTE,HUI HANG 828,"ZHOUSHAN HUIHANG SHIPPING CO., LTD",06-103-9095-279-1563,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9912385,3E8278,58614-PEXT-F,119.98,6117.0,11504.0,2027-03-17,https://vu.arap.gob.pa/c/clint/
VIGENTE,IBUKI,STAR NAVIGATION S.A.,06-105-3758-31-1522,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9666481,3ELC8,46403-14-B,127.81,6558.0,8043.0,2026-12-03,https://vu.arap.gob.pa/c/clint/
VIGENTE,INVINCIBLE,SPRINGWAVE SHIPPING S.A.,06-105-4459-232-1451,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9181170,3EFL4,51437-20-B,141.15,10532.0,14482.7002,2026-06-05,https://vu.arap.gob.pa/c/clint/
VIGENTE,IRENE,"ATUNERA NACIONAL, SOCIEDAD ANÓNIMA",04-104-3759-79-1420,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Supply Vessel / Buque de Suministro,8304749,HP3077,45720-14-D,35.1,339.0,0.0,2026-04-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,JANE IV,"SERVICIOS ATUNEROS DEL NORTE, S.A.",05-102-3658-28-1514,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7915931,HO4220,31763-06-D,78.29,1640.0,1633.0,2026-11-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,JONATHAN ACE,JONATHAN SHIPPING INC.,06-105-3762-117-1470,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8221595,3FPM2,40949-09-E,89.88,3520.0,3400.0,2026-07-10,https://vu.arap.gob.pa/c/clint/
VIGENTE,JONATHAN STAR,JONATHAN STAR SHIPPING INC.,06-105-3763-145-1490,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8223311,3FKN7,48788-17-CH,100.21,4394.0,5737.56,2026-09-15,https://vu.arap.gob.pa/c/clint/
VIGENTE,JUAN PABLO II,"PACIFIC MERCANTIL TUNA, S.A.",05-102-5828-130-1480,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,9831189,HO6883,52878-21-B,76.88,2884.0,2000.0,2026-08-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,KAI DE,ORIENT GLORY SHIPPING LIMITED,06-105-3764-70-1559,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8421286,H3XA,42604-11-C,100.98,4202.0,5395.0,2027-03-17,https://vu.arap.gob.pa/c/clint/
VIGENTE,KANO REEFER,"MARINE GROWTH, S.A.",06-105-4192-215-1532,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9194957,3EOF5,51154-20-B,133.61,8507.0,13138.0,2026-12-06,https://vu.arap.gob.pa/c/clint/
VIGENTE,LADY TUNA,WANG TAT CORPORATION PTE. LTD.,06-105-3769-6-1488,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9453418,3EQX2,47255-15-B,113.37,4538.0,5216.9,2026-08-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,LAUTARO,AUGUSTA FISHERY CORPORATION LIMITED,05-102-3661-25-1513,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8134663,HO3357,31604-PEXT-F-5,61.7,1167.0,1275.0,2026-11-07,https://vu.arap.gob.pa/c/clint/
VIGENTE,LIAOYU REEFER 1,HONG KONG EVER OCEAN SHIPPING COMPANY LIMITED,06-105-3770-179-1468,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8904068,3FLJ6,49805-18-B,106.38,5286.0,7694.79,2026-07-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,LJUBICA,"PESQUERA MIRIAM, S.A.",05-102-3662-85-1457,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,9681584,3EMB6,47924-16-B,77.66,2749.0,2000.0,2026-06-10,https://vu.arap.gob.pa/c/clint/
VIGENTE,MABAH,TUDDAL REEFER AS,06-105-3771-99-1570,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9105358,3FSC4,22116-95-H,113.38,4457.0,6658.0,2027-05-22,https://vu.arap.gob.pa/c/clint/
VIGENTE,Madre Antonia,BLUE LINE TRADING LIMITED,06-109-8591-273-1435,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,BUQUE DE PROCESAMIENTO / PROCESSING VESSEL,1025966,3E4785,55547-24,77.1,2157.0,1600.0,2026-04-19,https://vu.arap.gob.pa/c/clint/
VIGENTE,MARIA DEL MAR A,PROMETEUS SEA BROKERS INC,05-102-3663-3-1466,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7503142,HO3996,31756-06-D,80.1,2211.0,2304.0,2026-06-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,MARIA EULOGIA,MANTARAYA FISHING CORP.,05-102-4594-131-1558,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8003254,3ETT7,47024-15-D,61.36,1491.0,1217.0,2028-04-13,https://vu.arap.gob.pa/c/clint/
SUSPENDIDA,MARINE MOON,INTEGRITY TANKERS PTE LTD,04-103-6161-261-1411,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Oil Tanker Vessel / Buque Tanquero,9547776,3E3431,53146-22-C,105.29,5256.0,9819.0,2026-03-28,https://vu.arap.gob.pa/c/clint/
VIGENTE,MARTA REEFER,FARO NAVIGATION CORP.,06-105-3713-136-1444,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9174701,H3LU,27271-00-G,113.37,4490.0,5742.0,2026-05-19,https://vu.arap.gob.pa/c/clint/
VIGENTE,MILENA A,INTERMARINE DEVELOPMENT S. A.,05-102-3667-60-1539,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7342287,HPYR,29947-04-I,55.66,1185.0,1216.6,2026-12-19,https://vu.arap.gob.pa/c/clint/
VIGENTE,MIRACLE,TAIXIN FISHERY SINGAPORE PTE. LTD,06-105-6122-258-1421,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8712398,3E2024,53062-22-A,78.72,1887.0,2617.12,2026-03-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,MONTELAURA,"GESTRA CORPORATION, S.A",06-105-3778-95-1433,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,7625500,3FRF5,54827-23-C,91.23,2695.0,4971.6602,2026-04-21,https://vu.arap.gob.pa/c/clint/
VIGENTE,MYLO,SEALAND TRADING SERVICE CORPORATION,04-105-3827-10-1380,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9278612,HPFK,29233-03-E,113.37,4499.0,5879.67,2025-12-15,https://vu.arap.gob.pa/c/clint/
VIGENTE,NEW HARMONY,NEW WINSTAR S.A,06-103-5664-244-1455,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9208605,HOOT,52592-21-B,108.5,5373.0,0.0,2026-06-02,https://vu.arap.gob.pa/c/clint/
VIGENTE,NEW TAKATSUKI,"NEW POWER SHIP, S.A",06-105-3780-47-1517,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9015838,3EFN9,19977-92-I,113.34,4446.0,6714.8599,2026-12-30,https://vu.arap.gob.pa/c/clint/
VIGENTE,NO. 1 BARON,"NOK CO. LTD., S.A.",06-105-3781-59-1543,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8911619,3FMM7,45521-14-B,113.34,4457.0,6755.03,2027-01-24,https://vu.arap.gob.pa/c/clint/
VIGENTE,NO. 1 POHAH,"NOK CO. LTD., S.A.",06-105-3782-57-1556,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8714944,3FSS6,45338-13-C,108.47,4261.0,5977.87,2027-03-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,NO. 2 POHAH,"NOK CO. LTD., S.A.",04-105-3783-58-1412,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9227601,3FWC9,45352-13-CH,113.38,4513.0,6655.49,2026-04-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,OCEAN ACE,NEON CAVE LIMITED,06-103-8811-275-1525,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9014339,3E6659,57869-PEXT,183.1,27072.0,0.0,2026-11-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,OCEAN CRYSTAL,OCEAN AFFLUENT LIMITED,04-103-5673-245-1316,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9116905,HPUG,52573-21-B,173.1,29083.0,0.0,2025-06-02,https://vu.arap.gob.pa/c/clint/
VIGENTE,OCEAN CRYSTAL,OCEAN AFFLUENT LIMITED,06-103-5673-245-1456,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9116905,HPUG,52573-21-B,173.1,29083.0,0.0,2026-06-04,https://vu.arap.gob.pa/c/clint/
VIGENTE,OCEAN SPLENDID,DIAMOND BAY GLOBAL LIMITED(BUQUE OCEAN SPLENDID),04-103-4396-219-1416,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Oil Tanker Vessel / Buque Tanquero,9221683,3FAF7,47688-16-CH,173.1,28539.0,0.0,2026-03-04,https://vu.arap.gob.pa/c/clint/
VIGENTE,OCEAN STAR,"HONGKONG XIANG KUN SHIPPING CO., LIMITED",06-105-6119-257-1547,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9915686,3E3345,52188-PEXT-F-3,110.46,5566.0,5040.68,2027-02-04,https://vu.arap.gob.pa/c/clint/
VIGENTE,Ocean Star II,GENESIS OCEAN S.A.,05-101-3637-20-1497,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8970639,HO6879,45188-PEXT-1,32.0,179.0,210.0,2026-09-19,https://vu.arap.gob.pa/c/clint/
VIGENTE,Ocean Star III,GENESIS OCEAN S.A.,05-101-3641-71-1425,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8967943,HP6469,4709-PEXT-1,32.0,179.0,210.0,2026-04-22,https://vu.arap.gob.pa/c/clint/
VIGENTE,OCEAN STAR NO. 101,GENESIS OCEAN S.A.,05-101-3671-80-1424,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,9094121,HP7743,51458-20,34.97,288.0,120.0,2026-03-17,https://vu.arap.gob.pa/c/clint/
VIGENTE,OCEAN STAR VI,GENESIS OCEAN S.A.,05-101-3674-91-1427,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8656661,HP3726,53410-22-B,32.0,199.0,220.0,2026-04-23,https://vu.arap.gob.pa/c/clint/
VIGENTE,ORANGE ICE,"TACHIBANAYA CO., LTD. (95%).",06-105-3832-188-1569,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9797917,HOA7580,55583-PEXT-F-3,131.15,7139.0,8323.99,2027-04-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,PACIFIC JOURNEY,SIONG SOON SHIPPING CORP.,06-105-3826-78-1519,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9314612,H3CN,46792-15-CH,113.37,4522.0,5743.4,2026-11-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,PACIFIC SPACE,GOLDEN CENTRE TRADING LIMITED (PACIFIC SPACE),06-103-8879-276-1541,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9016935,3FSD6,51652-20,105.62,5677.0,0.0,2026-12-26,https://vu.arap.gob.pa/c/clint/
VIGENTE,PALOMA REEFER,WATERLINE TRADING LIMITED,06-105-3788-3-1461,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9309681,HP7151,48284-16-CH,62.6,1267.0,1148.0,2026-08-07,https://vu.arap.gob.pa/c/clint/
VIGENTE,PESCATUN I,"PESCATUN 3 PANAMA, S.A",05-102-4868-121-1523,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7305409,HP9341,47620-16-A,58.0,1086.0,1244.0,2026-11-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,PIONEER 38,PIONEER MARINE SERVICES PTE LTD,06-103-6109-255-1537,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9916331,3E2041,53095-22,102.17,4564.0,0.0,2027-01-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,PRINCESA GUASIMARA,GOLDEN SEA TRADING LTD.,06-105-3789-4-1463,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9442237,3ECO,48305-16-CH,72.13,1877.0,1830.0,2026-08-07,https://vu.arap.gob.pa/c/clint/
VIGENTE,PRINCESA GUAYARMINA,BLUE LINE TRADING LIMITED,06-105-7979-267-1432,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9966049,3E2351,54601-23,77.1,2156.0,1600.0,2026-04-28,https://vu.arap.gob.pa/c/clint/
VIGENTE,PROCYON,BLUEMARE MARITIME S.A.,06-105-4634-233-1485,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9151113,3FWY6,23595-97-F,135.4,9083.0,14447.5,2026-08-06,https://vu.arap.gob.pa/c/clint/
VIGENTE,PROSPERITY 12,PROSPERITY MARINE PTE. LTD,06-103-5957-248-1501,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9916317,3E3906,52817-21-B,102.17,4564.0,0.0,2026-09-08,https://vu.arap.gob.pa/c/clint/
VIGENTE,REINA DE LA PAZ,"MAR PACIFICO TUNA, S.A",05-102-3678-48-1538,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,9545792,3EFR6,34810-09-F,80.6,2284.0,2100.0,2027-01-10,https://vu.arap.gob.pa/c/clint/
VIGENTE,RIA DE ALDAN,"ALDAN PACIFIC, S.L.",03-102-8396-134-1386,Licencia Internacional de Pesca de captura,Red de Cerco,9476238,3E7493,56827-PEXT,89.4,2666.0,1630.0,2025-12-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,RUI SHENG,RUI CHENG INTERNATIONAL SHIPPING LIMITED,06-105-3795-107-1509,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8688755,3FOH6,48283-16-CH,91.5,2997.0,5300.0,2026-10-12,https://vu.arap.gob.pa/c/clint/
VIGENTE,RYOMA,QUEEN TUVALU INC.,06-105-3796-111-1430,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9133305,3ELZ5,48740-17-CH,113.37,4493.0,5733.85,2026-04-02,https://vu.arap.gob.pa/c/clint/
VIGENTE,SALGIR,SALGIR SHIPPING LTD,06-105-3797-27-1510,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9142289,3FYM4,43094-11-C,93.36,3767.0,4766.0,2026-10-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA BLAZER,HABITAT INTERNATIONAL CORP.,06-105-3733-209-1550,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9057549,3ELI9,50523-19-B,115.27,4830.0,7165.22,2027-03-07,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA FUTURE,HABITAT INTERNATIONAL CORP.,06-105-6094-254-1521,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8860444,3E3544,53032-22-A,122.9,6989.0,7052.0,2026-12-23,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA GLORY II,SHANDONG ZHONGLU FISHERY SHIPPING CO. LTD,06-105-3800-19-1474,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9009695,3FKX4,47674-16-C,113.34,4444.0,6714.0,2026-09-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA PEARL I,HABITAT INTERNATIONAL CORP.,06-105-3802-131-1492,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9008639,H8MF,48400-16-B,113.34,4430.0,6719.7,2026-10-20,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA REEFER,HABITAT INTERNATIONAL CORP.,06-105-3803-208-1493,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9175274,3FDD4,50965-19,122.92,6971.0,7626.0,2026-10-15,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA STAR V,HABITAT INTERNATIONAL CORP.,06-105-3804-108-1452,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8914221,3EYI5,48330-16-C,110.84,4574.0,6610.0,2026-06-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA TRADER I,HABITAT INTERNATIONAL CORP.,04-105-3805-90-1407,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8919893,HODS,48306-16-C,110.84,4574.0,6614.0,2026-04-24,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA TUNA I,"PESCATUN 2 PANAMA, S.A",05-102-4867-122-1524,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7123473,HP6638,47622-16-A,64.7,1526.0,1487.0,2026-11-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEA WEALTH,HABITAT INTERNATIONAL CORP.,06-105-3686-205-1460,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9057537,3EEV3,50375-19-CH,115.27,4830.0,7163.0,2026-08-12,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEIN GALAXY,GALAXY INTERNATIONAL MARITIME PTE LTD,06-105-3767-75-1545,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8810645,3EYB6,45336-13-C,94.97,3475.0,5281.24,2027-01-13,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEIN GRACE,SKY REEFER S.A,04-105-3806-102-1415,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8609979,3EFA6,47912-16-C,117.31,4963.0,7671.83,2026-05-26,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEIN PRINCESS,PRINCESS REEFER S.A.,04-105-3807-106-1413,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8609981,3FTJ4,42446-11-D,117.31,4963.0,7663.65,2026-06-12,https://vu.arap.gob.pa/c/clint/
VIGENTE,SEITA MARU,SEITA SHIPPING COMPANY S.A.,06-105-6190-262-1478,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9920435,3E3457,53828-23-B,108.46,4992.0,5805.4,2026-07-27,https://vu.arap.gob.pa/c/clint/
VIGENTE,SHIN FUJI,SEA ROAD LINE INC.,06-105-3809-100-1437,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9140281,HPEF,47975-16-C,90.48,3822.0,4725.02,2026-05-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,SHIN HO CHUN No. 101,"TUNAGO SHIPPING CO., LTD",04-105-3810-114-1326,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9220653,3FRF9,47182-15-B,86.4,2495.0,4012.0,2025-07-01,https://vu.arap.gob.pa/c/clint/
VIGENTE,SHIN HO CHUN No. 102,"TUNAGO SHIPPING CO., LTD",04-105-3811-113-1327,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9262182,3FEQ5,47161-15-B,95.2,2900.0,3844.0,2025-06-30,https://vu.arap.gob.pa/c/clint/
VIGENTE,SHIN IZU,SEA ROAD LINE INC.,06-105-3812-153-1471,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9186936,3EYX6,49256-17-B,88.11,2781.0,3721.2,2026-09-14,https://vu.arap.gob.pa/c/clint/
SUSPENDIDA,SHUN ZE LENG 7,TCT MARINE SURVEYOR & CLAIM COMPANY LIMITED,04-105-4518-229-1332,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9045936,H3UQ,49307-17-B,133.83,9829.0,9829.0,2025-07-21,https://vu.arap.gob.pa/c/clint/
VIGENTE,SUAH,"NOK CO. LTD., S.A.",06-105-3817-26-1507,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9000376,HOZZ,43379-12-D,113.34,4444.0,6711.39,2026-10-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,SYDNEY SOFIA,"OSPREY FISHERIES, S.A.",05-102-3679-116-1447,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,9857030,HP6426,51299-20-B,44.54,861.0,892.49,2026-05-28,https://vu.arap.gob.pa/c/clint/
VIGENTE,SYOTA MARU,SYOTA SHIPPING COMPANY S.A.,06-105-3818-7-1450,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9087908,H9NZ,47406-15-C,113.37,4491.0,5738.0,2026-05-16,https://vu.arap.gob.pa/c/clint/
VIGENTE,TAGANROGSKIY ZALIV,DELIA NAVIGATION CORP.,06-105-3819-186-1495,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9152181,3EYS5,50245-19-A,134.74,8879.0,14858.0996,2026-10-03,https://vu.arap.gob.pa/c/clint/
VIGENTE,TAI JI,HONG KONG (LIAOYU GROUP) COMPANY LIMITED,06-105-3822-33-1527,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8804244,3FYZ6,42735-11-CH,117.31,4970.0,7677.0,2026-12-06,https://vu.arap.gob.pa/c/clint/
VIGENTE,TAIHO MARU,PRINCESS LINE S.A.,06-105-4444-219-1534,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9459591,3FSL8,51220-20-A,89.55,3858.0,4967.7,2027-03-19,https://vu.arap.gob.pa/c/clint/
VIGENTE,TEMPLARIO I,"TUNA LINER CORPORATION, S.A.",05-102-3680-26-1515,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8003216,HO4221,31813-06-CH,65.26,1245.0,1363.0,2026-11-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,TIARA 108,TIARA MARINE S.A,04-105-3825-25-1362,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8420763,3FQH9,41927-10-C,100.98,4361.0,6513.27,2025-10-06,https://vu.arap.gob.pa/c/clint/
VIGENTE,TIUNA,AUGUSTA FISHERY CORPORATION (TIUNA) LIMITED,05-102-3681-92-1560,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8102892,HO2865,30473-PEXT-F-14,61.96,1329.0,1202.0,2027-04-29,https://vu.arap.gob.pa/c/clint/
VIGENTE,TRITON REEFER,WEI CHENG SHIPPING LIMITED,04-105-4379-220-1418,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8911102,3EMD9,51521-20-A,136.42,8818.0,12863.2998,2026-03-08,https://vu.arap.gob.pa/c/clint/
VIGENTE,TUNA PRINCESS,STAR NAVIGATION S.A.,06-105-6475-264-1487,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9940708,3E2595,53588-22,113.27,4902.0,5107.46,2026-08-24,https://vu.arap.gob.pa/c/clint/
VIGENTE,TUNA QUEEN,UNITED REEFER S.A.,06-105-6228-263-1464,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9940693,3E2495,53584-22-A,113.27,4902.0,5106.62,2026-06-29,https://vu.arap.gob.pa/c/clint/
VIGENTE,TUNAMAR,AMERICA TOWER I CORP.,05-102-3682-56-1477,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7409138,HO3419,34934-09-D,76.75,1098.0,1402.0,2026-08-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,TUNAPESCA,"PESCATUN PANAMA, S.A",05-102-3683-54-1533,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7395375,HOUA,33228-07-E,60.44,1040.0,1161.0,2027-01-26,https://vu.arap.gob.pa/c/clint/
