,Nome da Embarcação,Número de Inscrição no RGP (PPP ou RAEP),Número de Inscrição na Marinha do Brasil,AB,Comprimento,Propulsão,HP,Capacidade do Porão,Volume do Tanque,Tripulação,Número de Covos,Status,UF,Número da Frota,Código IN,Petrecho
0,02 GUERREIROS,PA00161265,0230095631,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
1,02 IRMAOS IV,PA00161177,0230086110,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
2,02 IRMAOS V,PA00161181,0230077731,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
3,100 JUÍZO,RJ00096447,3830078391,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
4,12 CORACÕES,PA00161491,0270014497,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
5,17 DE MARÇO,RJ00062438,3830097417,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
6,23 DE ABRIL XIII,BA00013407,3430043409,,,,,,,,,Cancelada,BA,5.01.001,5.1,5. Armadilha
7,23 DE ABRIL XX,BA00013411,2930014431,,,,,,,,,Cancelada,BA,5.01.004,5.3,5. Armadilha
8,23 DE ABRIL XXIII,BA00013425,3420038496,,,,,,,,,Cancelada,BA,5.01.001,5.1,5. Armadilha
9,2 AMIGOS DE JARUMA,PA00161007,0210313471,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
10,2 DE AGOSTO,PA00160617,0230098941,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
11,2 DE JUNHO,PA00160597,0230090567,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
12,2 Irmãos Santos de Tucurui,PA00162117,0210310561,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
13,2 IRMAS,PA00161479,0230098207,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
14,2 Litros e 1/2,SP00164851,484M2004002597,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
15,3 IRMÃOS,PR00050111,9620241801,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
16,3 IRMAS I,PR00040984,4211511378,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
17,4010715138,SP00172728,4010715138,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
18,4420132931,SP00165811,4420132931,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
19,5AJ,SP00164731,402M2002028031,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
20,5 Irmãos,PA00159554,0210264161,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
21,5 IRMÃOS IV,PA00160477,0210987294,,,,,,,,,Cancelada,PA,2.04.003,2.11,2. Rede de Emalhe
22,ABENÇOADOS,RJ00096339,3850008061,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
23,ACHAL II,SC00153530,4420196874,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
24,A COR DO RETRATO,RJ00096327,3877042953,,,,,,,,,Cancelada,RJ,1.02.001,1.3,1. Linha
25,ADALBERTO,ES00070905,3420043716,,,,,,,,,Cancelada,ES,3.02.002,3.9,3. Rede de Arrasto
26,ADELIA,SC00050149,4410454145,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
27,AD II,SC00156286,442M2003004869,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
28,ADILSON LUCAS,SP00050157,3860005880,,,,,,,,,Cancelada,SP,2.00.000,null,2. Rede de Emalhe
29,A DONZELA,RJ00096301,3850002110,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
30,ADRIANA,SC00062446,4430051186,,,,,,,,,Cancelada,SC,2.01.004,null,2. Rede de Emalhe
31,ADRIANE I,SC00061464,4450101391,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
32,ADRIANO,PR00040196,962M001813,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
33,ADRIELE,CE00038875,1630042811,,,,,,,,,Cancelada,CE,1.00.000,null,1. Linha
34,AFONSO,SC00154278,441M2009000827,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
35,AGATHA CHRISTIE,RJ00101671,3810497061,,,,,,,,,Cancelada,RJ,2.00.000,null,2. Rede de Emalhe
36,AGATHA I,PR00050187,4211495097,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
37,AGMAR,PR00040228,962M003042,,,,,,,,,Cancelada,PR,6.03.004,6.7,6. Diversificada
38,AGNUS DAI,PR00050199,4211489496,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
39,AGUA DE FOGO,PR00062474,9620233182,,,,,,,,,Cancelada,PR,2.01.004,null,2. Rede de Emalhe
40,ÁGUA MARINE,PR00050207,4430063851,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
41,AGUA MARINHA,ES00174454,3870060841,,,,,,,,,Cancelada,ES,2.00.000,null,2. Rede de Emalhe
42,AGUA MARINHA I,SP00005086,4430053626,,,,,,,,,Cancelada,SP,3.00.000,null,3. Rede de Arrasto
43,AGUA VIVA,SC00155156,441M2008000916,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
44,AGUIA AZUL I,PR00051001,4420172339,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
45,ÁGUIA BELA,RJ00096347,3420043040,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
46,AGUIA DO MAR,SC00062508,4430107556,,,,,,,,,Cancelada,SC,2.01.004,null,2. Rede de Emalhe
47,AGUIA DO MAR I,SP00050315,4210206938,,,,,,,,,Cancelada,SP,2.00.000,null,2. Rede de Emalhe
48,AGUIA DOURADA II,SC00061486,4420136219,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
49,AGUIA MARINHA I,SC00010977,4010157895,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
50,A INDOMADA,RJ00062516,3870060719,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
51,ALADIN,CE00037967,1630043206,,,,,,,,,Cancelada,CE,1.00.000,null,1. Linha
52,ALALUNGA VIII,SC00199234,4430121184,,,,,,,,,Cancelada,SC,1.05.001,1.13,1. Linha
53,Albatroz,SC00153270,442M2005003820,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
54,ALBATROZ I,SC00257979,5600825293,,,,,,,,,Cancelada,SC,2.04.002,2.10,2. Rede de Emalhe
55,ALBATROZ IV,SC00061498,4410168100,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
56,ALBATROZ VI,SC00051109,4410444301,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
57,ALBERTINA,SC00154608,4450090471,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
58,ALCATRAZ I,SC00009174,4010544104,,,,,,,,,Cancelada,SC,3.03.001,3.6,3. Rede de Arrasto
59,ALDAMAR,PR00040266,4211506188,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
60,ALEANA,SC00062530,443011035,,,,,,,,,Cancelada,SC,2.01.004,null,2. Rede de Emalhe
61,ALELUIA,SC00061506,4410450042,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
62,ALEMAO,SC00051147,4410153732,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
63,ALESSANDRA II,CE00007048,1630038504,,,,,,,,,Cancelada,CE,1.00.000,null,1. Linha
64,ALEX,RJ00044438,3870057343,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
65,ALHETA,SC00154138,442M2001018576,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
66,ALIMAR I,CE00100795,1610049292,,,,,,,,,Cancelada,CE,3.02.003,3.3,3. Rede de Arrasto
67,ALINE,PR00051217,421005262,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
68,ALINE IX,PR00041656,4211511190,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
69,ALINE MARA,SC00050365,4430121681,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
70,ALINE VII,SC00215811,9143398391,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
71,ALKACUZ,SP00165647,4010505508,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
72,ALMIRANTE I,SC00153424,4450082729,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
73,ALTA ONDA I,SC00153720,4420000457,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
74,ALTAS ONDAS,SP00165495,4030200885,,,,,,,,,Cancelada,SP,6.03.001,6.6,6. Diversificada
75,ALUISIO I,PR00051267,4211495399,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
76,ALVES,RJ00044826,3850008011,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
77,AMANCIO,SP00165065,4010610689,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
78,AMANDA ELISA,PR00051311,4211489968,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
79,AMANDA I,SC00179320,4430116628,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
80,AMANDA II,ES00047248,3420044381,,,,,,,,,Cancelada,ES,6.03.001,6.6,6. Diversificada
81,AMANDA IV,SC00005704,4430122857,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
82,AMANDA IX,PR00041338,4211511351,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
83,AMANDA R.J,SC00061518,4410127870,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
84,AMAOMAR,RJ00045848,3810515329,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
85,AMARAL VI,SC00037377,4410124781,,,,,,,,,Cancelada,SC,3.00.000,null,3. Rede de Arrasto
86,AMARAL XVI,SC00008648,4410149270,,,,,,,,,Cancelada,SC,1.00.000,null,1. Linha
87,AMAZONAS,RJ00044128,3850008550,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
88,AMAZONAS II,SP00062544,4430111995,,,,,,,,,Cancelada,SP,2.01.004,null,2. Rede de Emalhe
89,AMELIA,SC00158164,4410143069,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
90,AMERICO DANTAS,RJ00100107,3810215465,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
91,AMIGA DAS BALEIAS,SC00061520,4410174070,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
92,AMIGO DO PEIXE,RJ00096389,3810499587,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
93,AMIGO DO ROMARIO,BA00002760,2810249466,,,,,,,,,Cancelada,BA,3.00.000,null,3. Rede de Arrasto
94,AMIGO FIEL,SC00178324,4430475911,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
95,AMIGOS UNIDOS,RJ00062558,3870058692,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
96,AMISTAD,RJ00044148,3870060310,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
97,AMOR,ES00174476,3850005283,,,,,,,,,Cancelada,ES,2.00.000,null,2. Rede de Emalhe
98,ANA,RJ00099845,381M2001015297,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
99,ANA II,PR00041218,4215511542,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
100,ANA JULIA,SC00153304,4450096363,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
101,ANA JULIA II,SC00154588,4450100719,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
102,ANA KATIA,SP00062578,3820088113,,,,,,,,,Cancelada,SP,2.01.004,null,2. Rede de Emalhe
103,ANAMAR I,ES00041148,3410236431,,,,,,,,,Cancelada,ES,2.01.004,null,2. Rede de Emalhe
104,ANA MARIA I,SC00163577,4430097020,,,,,,,,,Cancelada,SC,3.09.001,3.10,3. Rede de Arrasto
105,ANA MARIA II,SP00061400,4030085610,,,,,,,,,Cancelada,SP,2.01.002,null,2. Rede de Emalhe
106,ANA MILENE,CE00007330,1630043125,,,,,,,,,Cancelada,CE,1.00.000,null,1. Linha
107,ANANIAS MAR I,CE00308775,1630047414,,,,,,,,,Cancelada,CE,1.01.002,1.1,1. Linha
108,ANA PAULA,SP00164947,4020222495,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
109,ANA PAULA DE SOURE,PA00094585,0210254505,,,,,,,,,Cancelada,PA,2.00.000,null,2. Rede de Emalhe
110,ANA PAULA II,SP00050409,401M005992,,,,,,,,,Cancelada,SP,6.03.001,6.6,6. Diversificada
111,ANA PAULA II,SC00155226,4450088603,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
112,ANA PAULA II,SP00165135,401M2005000559,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
113,ANCORADOURO,SC00061548,4420178779,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
114,Anderson e Alaide,SC00153368,442M2005004559,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
115,ANDORINHA IV,CE00006988,1630036498,,,,,,,,,Cancelada,CE,1.00.000,null,1. Linha
116,ANDRE LUCAS,PI00044376,1630043401,,,,,,,,,Cancelada,PI,1.00.000,null,1. Linha
117,ANDRE PESCA I,PA00006440,0210301309,,,,,,,,,Cancelada,PA,1.04.001,1.8,1. Linha
118,ANDRESSA,RJ00046238,3420032901,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
119,ANDRESSA II,PR00040174,4210274241,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
120,ANDREZA IV,SP00062594,4040108639,,,,,,,,,Cancelada,SP,2.01.004,null,2. Rede de Emalhe
121,ANDREZO,PA00070251,0210309539,,,,,,,,,Cancelada,PA,2.00.000,null,2. Rede de Emalhe
122,ANFL,SC00155000,442M2007001304,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
123,ANGELO'S,RJ00047128,3810422100,,,,,,,,,Cancelada,RJ,2.00.000,null,2. Rede de Emalhe
124,ANGRA DOS REIS,RJ00061380,3870034581,,,,,,,,,Cancelada,RJ,2.01.002,null,2. Rede de Emalhe
125,ANISTIA,RJ00062600,3870055260,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
126,ANJO DA GUARDA,SC00005466,4430107866,,,,,,,,,Cancelada,SC,6.03.004,6.7,6. Diversificada
127,ANJO DA GUARDA,RJ00096421,3810447722,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
128,ANJO DA LUZ,SC00061556,4430102287,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
129,ANJO DE DEUS,ES00062614,3410238964,,,,,,,,,Cancelada,ES,2.01.004,null,2. Rede de Emalhe
130,ANJO DO MAR,RJ00062628,3877045375,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
131,ANNA II,SC00066638,4420167441,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
132,ANNE,SC00179248,4410134949,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
133,ANTARES I,SP00173620,4010588217,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
134,ANTHAY,RJ00046198,3870061341,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
135,ANTHONY,PR00040696,4211511149,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
136,ANTONIO FESTAS,RJ00003446,3810214370,,,,,,,,,Cancelada,RJ,3.00.000,null,3. Rede de Arrasto
137,ANTONIO LINO,SC00062636,4430112617,,,,,,,,,Cancelada,SC,2.01.004,null,2. Rede de Emalhe
138,ANTONIO MARIA,CE00037607,1620014751,,,,,,,,,Cancelada,CE,5.01.001,5.1,5. Armadilha
139,ANTÔNIO SILVA,RJ00105985,3810194727,,,,,,,,,Cancelada,RJ,5.02.002,5.10,5. Armadilha
140,ANTONIO VENANCIO,SC00051477,4430062072,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
141,AO MESTRE J.J.S II,PR00062648,9620197364,,,,,,,,,Cancelada,PR,2.01.004,null,2. Rede de Emalhe
142,A PADROEIRA,PR00062650,9620243331,,,,,,,,,Cancelada,PR,2.01.004,null,2. Rede de Emalhe
143,APOLO,SC00009228,4010122170,,,,,,,,,Cancelada,SC,3.03.001,3.6,3. Rede de Arrasto
144,APOLO II,PR00051515,4210221163,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
145,APOLO IX,CE00007808,1610030320,,,,,,,,,Cancelada,CE,1.04.001,1.8,1. Linha
146,AQUÁRIOS,RJ00062678,3870051311,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
147,ARAÇA IV,SC00009258,4430084157,,,,,,,,,Cancelada,SC,3.00.000,null,3. Rede de Arrasto
148,ARACI I,PR00051527,4211468065,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
149,ARAGUAIA II,SP00173618,4010155779,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
150,ARAPONGA,RJ00062686,3850007855,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
151,ARAUNA,SC00005500,4430109150,,,,,,,,,Cancelada,SC,3.00.000,null,3. Rede de Arrasto
152,ARCA DA ALIANÇA II,PI00044390,1620007665,,,,,,,,,Cancelada,PI,2.00.000,null,2. Rede de Emalhe
153,ARCA DA ESPERANÇA,RJ00062698,3870061987,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
154,ARCA DE NOÉ,PR00062706,9620149955,,,,,,,,,Cancelada,PR,2.01.004,null,2. Rede de Emalhe
155,ARCA DE RODJ,RJ00044186,3810495999,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
156,ARCANJO,RJ00045266,3870058722,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
157,ARCO IRIS I,SC00051539,4410450077,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
158,ARENA,SP00050505,401M011763,,,,,,,,,Cancelada,SP,6.03.001,6.6,6. Diversificada
159,ARGUS,ES00175274,3420012748,,,,,,,,,Cancelada,ES,2.00.000,null,2. Rede de Emalhe
160,ARIANA I,SC00051547,4410444786,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
161,ARICURUNA,RJ00096435,3830071361,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
162,ARIEL,RJ00045208,3870059281,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
163,ARIELLE,SC00067508,4430115923,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
164,ARILDO,ES00092875,341M002879,,,,,,,,,Cancelada,ES,2.01.004,null,2. Rede de Emalhe
165,ARINAVE II,PR00062718,962M011185,,,,,,,,,Cancelada,PR,2.01.004,null,2. Rede de Emalhe
166,ARITANA,SP00051551,401M001300,,,,,,,,,Cancelada,SP,2.00.000,null,2. Rede de Emalhe
167,ARNAUT,SP00062720,4420002689,,,,,,,,,Cancelada,SP,2.01.004,null,2. Rede de Emalhe
168,ARPOADORA VII,PR00051565,4210262625,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
169,ARPOADOR II,PR00051577,4211465902,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
170,ARTE DO AMOR,RJ00044516,3850011691,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
171,ARTISTA,SC00067516,9459,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
172,ARUANA,RJ00051609,3870050306,,,,,,,,,Cancelada,RJ,2.00.000,null,2. Rede de Emalhe
173,ÁRVORE DA VIDA,ES00041500,3850005607,,,,,,,,,Cancelada,ES,2.00.000,null,2. Rede de Emalhe
174,ASA DE ÁGUIA II,RJ00046396,3877041361,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
175,ASCOBAS I,CE00027348,1620020793,,,,,,,,,Cancelada,CE,5.01.001,5.1,5. Armadilha
176,ASCOBAS II,CE00027350,1620020807,,,,,,,,,Cancelada,CE,5.01.004,5.3,5. Armadilha
177,ASTRO SOL,SC00066654,4430103577,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
178,ATALAIA II,SC00154420,4450089162,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
179,ATANAIL,PR00051635,4210262765,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
180,ATLANTICO,SC00067530,4410045053,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
181,ATLÂNTICO II,RJ00062734,3840157625,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
182,ATLÂNTIDA I,SP00042820,4030149961,,,,,,,,,Cancelada,SP,2.00.000,null,2. Rede de Emalhe
183,ATUM,PR00051647,4210196371,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
184,AUGUSTO,RJ00062748,3850005968,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
185,AURELIO,RJ00101457,3810352870,,,,,,,,,Cancelada,RJ,2.00.000,null,2. Rede de Emalhe
186,AURORA BOREAL,PR00040208,4211500040,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
187,AURORA BUREAL,PR00051667,4211500040,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
188,AUWAN,RJ00062030,3850003809,,,,,,,,,Cancelada,RJ,2.01.003,null,2. Rede de Emalhe
189,AVAI,SC00062044,4410170023,,,,,,,,,Cancelada,SC,2.01.003,null,2. Rede de Emalhe
190,AVANTE II,PR00051671,4211515764,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
191,AVE MARIA,RN00042158,1810039355,,,,,,,,,Cancelada,RN,1.00.000,null,1. Linha
192,AVENTURA,SP00165609,4010123770,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
193,AVENTURA V,PR00072581,4210261897,,,,,,,,,Cancelada,PR,3.02.002,3.9,3. Rede de Arrasto
194,AVO DOMINGO,SC00066626,4410165941,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
195,AYALA II,RJ00118696,3877049028,,,,,,,,,Cancelada,RJ,4.01.002,4.4,4. Rede de Cerco
196,AYRTON MAR,RJ00044030,3877043046,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
197,AZ DE COPAS IV,SC00179818,4450071727,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
198,AZULÃO,PR00051697,4210232301,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
199,AZUL DO MAR,ES00062756,3420046383,,,,,,,,,Cancelada,ES,2.01.004,null,2. Rede de Emalhe
200,BABALU,SC00067544,4410133977,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
201,BACURI,SP00050745,405M009623,,,,,,,,,Cancelada,SP,6.03.001,6.6,6. Diversificada
202,BADU,RJ00100137,3810331180,,,,,,,,,Cancelada,RJ,2.04.001,2.4,2. Rede de Emalhe
203,BAGUA I,SP00050435,405M040491,,,,,,,,,Cancelada,SP,6.03.001,6.6,6. Diversificada
204,BAIA BELA,PR00051729,4210270393,,,,,,,,,Cancelada,PR,2.00.000,null,2. Rede de Emalhe
205,BAILARINA,SC00062058,4410093681,,,,,,,,,Cancelada,SC,2.01.003,null,2. Rede de Emalhe
206,BALAO MAGICO,SC00153340,4450081587,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
207,BALEIA,SC00051741,4410448790,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
208,BALI J,SC00046994,4410151096,,,,,,,,,Cancelada,SC,3.08.001,3.11,3. Rede de Arrasto
209,BANDOLEIRA,SC00156884,4450091752,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
210,BARÃO,RJ00046408,3870048981,,,,,,,,,Cancelada,RJ,2.00.000,null,2. Rede de Emalhe
211,BARAO DE MAUA,SP00004336,4010330031,,,,,,,,,Cancelada,SP,3.00.000,null,3. Rede de Arrasto
212,BARÃO II,RJ00046310,3830037261,,,,,,,,,Cancelada,RJ,2.00.000,null,2. Rede de Emalhe
213,BARÃO IV,RJ00062768,3870002007,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
214,BARCELO,RJ00062066,3870047097,,,,,,,,,Cancelada,RJ,2.01.003,null,2. Rede de Emalhe
215,BARCO DO PEIXE,SC00155148,4430108463,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
216,BARRA DA LAGOA,SC00066676,4420172258,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
217,BARRA LIMPA,SC00051779,4418892133,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
218,BARRA MANSA,SC00051787,4430104867,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
219,BARRA MANSA,SP00072717,4010158993,,,,,,,,,Cancelada,SP,3.02.002,3.9,3. Rede de Arrasto
220,BATO MUXE I,SC00153580,4450096525,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
221,BEATRIZ II,SC00053895,4410163833,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
222,BEATRIZ MAR,RJ00062784,3810493694,,,,,,,,,Cancelada,RJ,2.01.004,null,2. Rede de Emalhe
223,BEIJA FLOR,SC00153248,442M2007006241,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
224,BEIRA MAR II,SC00179370,4450072448,,,,,,,,,Cancelada,SC,2.04.001,2.4,2. Rede de Emalhe
225,BELAS PRAIAS III,ES00062804,3420047746,,,,,,,,,Cancelada,ES,2.01.004,null,2. Rede de Emalhe
226,BELAS PRAIAS IV,ES00062818,3420048084,,,,,,,,,Cancelada,ES,2.01.004,null,2. Rede de Emalhe
227,BELEM PESCA VI,PA00101469,0210244488,,,,,,,,,Cancelada,PA,1.04.001,1.8,1. Linha
228,BELÉM PESCA XVII,PA00101501,0210240571,,,,,,,,,Cancelada,PA,1.04.001,1.8,1. Linha
229,BELINHA,SC00053947,4430119830,,,,,,,,,Cancelada,SC,2.00.000,null,2. Rede de Emalhe
230,BELMONTE,ES00062840,3420038798,,,,,,,,,Cancelada,ES,2.01.004,null,2. Rede de Emalhe
231,BERLOK,PA00092945,0210251557,,,,,,,,,Cancelada,PA,2.00.000,null,2. Rede de Emalhe
232,BERTINI,SP00165027,405M2005006683,,,,,,,,,Cancelada,SP,2.04.001,2.4,2. Rede de Emalhe
