,Nome da Embarcação,Número de Inscrição no RGP (PPP ou RAEP),Número de Inscrição na Marinha do Brasil,AB,Comprimento,Propulsão,HP,Capacidade do Porão,Volume do Tanque,Tripulação,Número de Covos,Status,UF,Número da Frota,Código IN,Petrecho
3000,ALCATRAZ III,RJ00210255,3810090204,40.0,19.69,Motor,270.0,,,4.0,,Deferida,RJ,3.03.001,3.6,3. Rede de Arrasto
3001,ALCEIA,RJ00096365,3830036922,0.68,7.0,Motor,8.0,,,,,Deferida,RJ,6.03.001,6.6,6. Diversificada
3002,ALCIANE,CE00111464,1610061411,2.4,6.9,Vela,,,,5.0,80.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3003,ALCIDES,SC00228668,4418907947,1.0,7.3,Motor,10.0,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3004,ALCIENE,RN00301051,1830057022,1.1,6.0,,,,,3.0,,Deferida,RN,6.03.003,6.5,6. Diversificada
3005,ALCILENE,CE00096959,1610047991,14.0,12.2,Motor,78.0,,,5.0,400.0,Deferida,CE,5.01.001,5.1,5. Armadilha
3006,ALCINEI,PR00281266,2120070008,,5.8,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
3007,ALCINEIA,RJ00124811,3830001363,0.9,7.45,Motor,6.0,,,4.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
3008,ALCIONIRA,MA00201180,1210137585,2.0,6.95,Motor,18.0,,250.0,2.0,,Deferida,MA,2.04.002,2.10,2. Rede de Emalhe
3009,ALDAIR,AP00231717,0220086982,1.93,9.7,Motor,160.0,,100.0,3.0,,Deferida,AP,2.04.002,2.10,2. Rede de Emalhe
3010,ALDAIR I,RN00270385,1830056867,3.9,7.2,Motor,54.0,,,3.0,,Deferida,RN,1.03.005,1.6,1. Linha
3011,ALDAIR JOSE,CE00140721,1620021773,2.3,7.33,Vela,,,,5.0,110.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3013,ALDA MAR,ES00038995,3420039981,3.8,8.55,Motor,120.0,,70.0,6.0,,Deferida,ES,3.02.002,3.9,3. Rede de Arrasto
3014,ALDEBAROM,RN00013721,1810047501,6.3,9.95,Motor,54.0,,,6.0,220.0,Deferida,RN,5.01.001,5.1,5. Armadilha
3015,ALDIRON,AL00224228,2210084512,3.0,7.5,Motor,18.0,,,3.0,,Deferida,AL,3.02.005,3.5,3. Rede de Arrasto
3016,ALDO,PE00255897,2210169305,3.2,8.0,Motor,18.0,,,3.0,,Deferida,PE,2.02.002,2.5,2. Rede de Emalhe
3017,ALDO E ALBER,BA00047798,2818891086,3.0,7.2,Motor,18.0,,1318.0,,,Deferida,BA,6.03.001,6.6,6. Diversificada
3018,ALDRY E NICOLY,PA00310236,0211023612,16.0,14.4,Motor,210.0,,,4.0,,Deferida,PA,1.03.004,1.5,1. Linha
3020,ALECHANDRE I,SC00051135,4410169114,3.2,9.2,Motor,18.0,2.8,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
3021,ALECRIM II,ES00071287,3850007146,5.8,10.0,Motor,110.0,,6991.0,3.0,,Deferida,ES,3.02.002,3.9,3. Rede de Arrasto
3022,ALEDSON,AL00224940,2420106458,2.3,7.5,Motor,7.5,,,3.0,,Deferida,AL,3.02.005,3.5,3. Rede de Arrasto
3023,ALEFSANDRA,SC00267720,4430487537,4.0,7.7,Motor,27.0,,,2.0,,Deferida,SC,4.01.002,4.4,4. Rede de Cerco
3024,ALEGRETE II,RS00039797,4650012244,14.0,13.86,Motor,110.0,,1288.0,4.0,,Deferida,RS,2.08.001,2.13,2. Rede de Emalhe
3025,ALEGRIA,SC00321085,4410109341,0.1,5.85,Remo,,,,2.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
3026,ALEGRIA DA VIDA II,SC00066568,4410119958,3.5,9.0,Motor,120.0,2.8,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3027,ALEGRIA DE NAZARE,AP00232865,0220037957,6.37,11.8,Motor,18.0,,200.0,2.0,,Deferida,AP,2.04.002,2.10,2. Rede de Emalhe
3028,ALEGRIA DO MAR,RJ00123005,3830078676,0.5,6.2,Motor,5.5,,,1.0,,Deferida,RJ,6.03.001,6.6,6. Diversificada
3029,ALEGRIA DO MAR,SC00189681,4410457284,1.0,7.63,Motor,24.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3030,ALEGRIA II,SC00157688,4410449320,1.0,6.7,Motor,11.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3031,ALEGRIA II,CE00032517,161M2005001220,,6.71,Vela,,,100.0,5.0,80.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3032,ALEHANDRO,RN00266866,1810056608,6.0,9.15,Motor,95.0,,,3.0,,Deferida,RN,2.02.002,2.5,2. Rede de Emalhe
3033,ALE II,SC00223494,441M2012004148,1.0,6.17,Motor,15.0,,,1.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
3034,ALEIRTON II,CE00026988,1610060954,3.1,7.57,Vela,,,,5.0,110.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3035,ALEITON I,CE00026996,1620021366,2.2,7.14,Vela,,,,4.0,110.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3037,ALELUIA,SC00181379,442M2006001151,,5.0,Remo,,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3038,ALELUIA,SC00173086,442M2012004702,,4.35,Motor,,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3039,ALELUIA,SP00004230,4010247461,13.3,12.5,Motor,90.0,,5000.0,4.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
3040,ALELUIA I,PR00072285,4010394421,13.4,12.05,Motor,160.0,,2800.0,5.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
3041,ALELUIA II,PA00093905,0210274816,3.7,9.5,Motor,18.0,,800.0,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
3042,ALELUIA III,PA00093987,0210274824,3.7,9.5,Motor,18.0,,800.0,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
3044,ALEMAO,SC00157450,442M2007002076,,4.9,Remo,,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3045,ALEMAO,SC00221326,442M2013003072,,4.46,Motor,,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3046,ALEMAO,SC00256931,4410153722,2.0,8.1,Motor,18.0,,,,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3047,ALEMÃO,SC00214389,4418900578,1.0,6.45,,15.0,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3048,ALEMÃO,SC00322209,4418925228,1.0,5.05,Motor,10.0,0.53,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3049,ALEMÃO,SC00279767,4611507572,3.0,8.64,Motor,24.0,,,2.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
3050,ALEMÃO PESCADOS,SC00010589,4010144904,81.0,22.0,Motor,325.0,,30000.0,6.0,,Deferida,SC,3.03.001,3.6,3. Rede de Arrasto
3051,ALEMÃO PESCADOS I,SC00011215,4660008894,78.0,22.0,Motor,180.0,,15000.0,4.0,,Deferida,SC,5.02.003,5.11,5. Armadilha
3052,ALEMÃO P I,ES00104957,2930023350,15.8,14.25,Motor,120.0,,,2.0,,Deferida,ES,1.01.002,1.1,1. Linha
3053,ALEMAR III,SP00071299,401M2008009831,0.4,4.75,Motor,40.0,,,1.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
3054,ALEM DA PROMESSA,SC00155738,4420208708,3.0,8.5,Motor,18.0,,400.0,1.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
3055,ALEM DO HORIZONTE,RJ00071307,3860002678,4.0,8.5,Motor,45.0,,,1.0,,Deferida,RJ,3.02.002,3.9,3. Rede de Arrasto
3056,ALEM DO HORIZONTE I,RN00013735,1830056751,8.1,8.9,Motor,60.0,,350.0,5.0,200.0,Deferida,RN,5.01.001,5.1,5. Armadilha
3057,ALEM DO HORIZONTE II,SC00009934,4430083312,81.0,22.48,Motor,270.0,67.0,20000.0,4.0,,Deferida,SC,3.09.001,3.10,3. Rede de Arrasto
3058,ALEM DO HORIZONTE IV,RJ00071319,3850005143,6.6,9.5,Motor,75.0,,,9.0,,Deferida,RJ,3.02.002,3.9,3. Rede de Arrasto
3059,ALEM DO RIO,SC00051159,4410460072,1.0,8.2,Motor,18.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3060,ALENCAR I,CE00027004,161M2006001661,,6.66,Vela,,,,5.0,80.0,Deferida,CE,5.01.004,5.3,5. Armadilha
3061,A LENDA,SP00333988,4019948356,1.18,6.8,Motor,15.0,,,1.0,,Deferida,SP,6.03.001,6.6,6. Diversificada
3062,ALESANDRA I,SC00155994,4420195134,1.4,5.5,Remo,,,,1.0,,Deferida,SC,6.08.001,6.8,6. Diversificada
3063,ALESSAN,PR00113610,421M2009000091,,5.57,Remo,,,,2.0,,Deferida,PR,6.04.001,null,6. Diversificada
3064,ALESSANDRA,SC00051171,4410147889,2.1,8.3,Motor,11.0,,,,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
3065,ALESSANDRA,ES00141409,3410237917,4.5,8.0,Motor,180.0,,,3.0,,Deferida,ES,1.02.001,1.3,1. Linha
3066,ALESSANDRA,SC00071327,4420116811,1.2,8.5,Motor,10.0,,,1.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
3067,ALESSANDRA,RJ00237231,3830049731,5.4,8.0,Motor,50.0,,,3.0,,Deferida,RJ,3.03.001,3.6,3. Rede de Arrasto
3068,ALESSANDRA I,PR00071331,4211458205,1.0,6.6,Motor,7.0,,,4.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
3069,ALESSANDRA I,CE00094977,1610054261,4.8,10.35,Motor,72.0,,2216.0,5.0,250.0,Deferida,CE,5.01.001,5.1,5. Armadilha
3071,ALESSANDRA N,SC00251565,443M2014006717,,3.55,Remo,,,,3.0,,Deferida,SC,2.02.001,2.2,2. Rede de Emalhe
3072,ALESSANDRA - XLII,SP00071345,4210136719,0.5,8.0,Motor,18.0,,,2.0,,Deferida,SP,3.02.002,3.9,3. Rede de Arrasto
3073,ALESSANDRO,CE00245744,161M2005000436,,6.4,Vela,,,,,,Deferida,CE,2.02.002,2.5,2. Rede de Emalhe
3074,ALESSANDRO,PA00146727,0210225777,10.4,11.19,Motor,63.0,,4000.0,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
3075,ALESSANDRO,ES00143025,341M2012003751,,3.5,Remo,,,,2.0,,Deferida,ES,6.03.001,6.6,6. Diversificada
3076,ALESSANDRO,PB00024384,2010074432,3.3,7.7,Motor,45.0,9.0,100.0,6.0,160.0,Deferida,PB,5.01.001,5.1,5. Armadilha
3077,ALESSANDRO I,RN00256255,1810053552,5.0,9.78,Motor,90.0,,,5.0,220.0,Deferida,RN,5.01.001,5.1,5. Armadilha
3078,ALESSON,PR00071357,4211470108,0.7,8.3,Motor,9.0,,,3.0,,Deferida,PR,3.02.002,3.9,3. Rede de Arrasto
3080,ALEX,ES00146541,3410137629,2.1,6.5,Motor,,,,,,Deferida,ES,2.02.001,2.2,2. Rede de Emalhe
3081,ALEX,AL00013747,2410148239,3.0,8.5,Motor,60.0,,,3.0,200.0,Deferida,AL,5.01.001,5.1,5. Armadilha
3082,ALEX,PR00341555,421M2006004410,,4.8,Remo,,,,2.0,,Deferida,PR,6.03.004,6.7,6. Diversificada
3083,ALEXANDRA,SC00182517,4420223961,1.9,10.0,Motor,60.0,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3084,ALEXANDRA,SC00246808,4418909192,0.8,6.2,Motor,9.0,,,2.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3085,ALEXANDRA N,SC00264106,442M2002000171,,5.0,Remo,,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3086,ALEXANDRA S,SC00051205,4430474532,4.0,8.1,Motor,45.0,,,3.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3087,ALEXANDRE,SC00066570,4410165518,4.6,9.0,Motor,8.0,4.4,,2.0,,Deferida,SC,3.02.002,3.9,3. Rede de Arrasto
3088,ALEXANDRE,AP00220738,0220033951,18.1,12.0,Motor,69.0,,1500.0,3.0,,Deferida,AP,2.04.004,2.12,2. Rede de Emalhe
3089,ALEXANDRE,RJ00138904,3810167584,27.2,13.4,Motor,140.0,,,,,Deferida,RJ,1.02.002,1.7,1. Linha
3090,ALEXANDRE,PB00013759,2010071662,2.5,7.9,Motor,60.0,4.0,100.0,6.0,160.0,Deferida,PB,5.01.001,5.1,5. Armadilha
3091,ALEXANDRE FILHO,PA00108687,0210251093,3.9,9.42,Motor,18.0,,,,,Deferida,PA,2.04.003,2.11,2. Rede de Emalhe
3092,ALEXANDRE FILHO II,CE00013767,1620018071,9.1,9.5,Motor,67.0,,4907.0,6.0,220.0,Deferida,CE,5.01.001,5.1,5. Armadilha
3093,ALEXANDRE I,AP00256039,0220041351,1.9,9.2,Motor,16.0,,200.0,2.0,,Deferida,AP,2.04.004,2.12,2. Rede de Emalhe
3094,ALEXANDRE II,SC00281716,4420226765,1.4,6.0,Motor,15.0,,,1.0,,Deferida,SC,2.04.001,2.4,2. Rede de Emalhe
3095,ALEXANDRE III,AP00263196,0220073511,3.7,9.6,Motor,18.0,,1000.0,1.0,,Deferida,AP,2.04.003,2.11,2. Rede de Emalhe
