ICCATSerialNo,OLDICCATSerialNo,NatRegNo,IntRegNo,IRNoTypeCode,IRCS,VesselName,FlagVesCode,FlagRepCode,FlagChartCode,IsscfvCode,IsscfgCode,LOAm,Tonnage,TonTypeCode,CarCapacity,CarCapUnitCode,ExternalMark,YearBuilt,ShipyardNatID,HomePort,DepthM,EnginePowerHP,VmsComSysCode,P20m_ddIF,SWOn_ddIF,SWOs_ddIF,ALBn_ddIF,ALBs_ddIF,Trop_ddIF,SWOm_ddIF,ALBm_ddIF,BFEc_ddIF,BFEo_ddIF,Carr_ddIF,Char_ddIF,P20m_dtFrom,P20m_dtTo,P20m_dtNotif,P20m_RM,SWOn_dtFrom,SWOn_dtTo,SWOn_dtNotif,SWOs_dtFrom,SWOs_dtTo,SWOs_dtNotif,ALBn_dtFrom,ALBn_dtTo,ALBn_dtNotif,ALBs_dtFrom,ALBs_dtTo,ALBs_dtNotif,Trop_dtFrom,Trop_dtTo,Trop_dtNotif,Trop_RM,SWOm_dtFrom,SWOm_dtTo,SWOm_dtNotif,ALBm_dtFrom,ALBm_dtTo,ALBm_dtNotif,BFEc_dtFrom,BFEc_dtTo,BFEc_dtNotif,BFEc_CatchQuota,BFEc_YearQuota,BFEo_dtFrom,BFEo_dtTo,BFEo_dtNotif,Carr_dtFrom,Carr_dtTo,Carr_dtNotif,Char_dtFrom,Char_dtTo,Char_dtNotif,OpName,OpAddress,OpCity,OpZipCd,OpCountry,OwName,OwAddress,OwCity,OwZipCd,OwCountry
"AT0002743","AT000PAN00024","32518-PEXT-F-15","8716825","IMO","H9HB","ALBACORA CARIBE","PAN","PAN","","SP","PS","67.38","2136.0","GRT","1881.0","m3","Vessel Name","1990","021","Panama","9.05","4400.0","INMSAT","322","","","","","322","","","","","","","2025-08-07","2026-08-07","2025-08-04","AUTO","","","","","","","","","","","","","2025-08-07","2026-08-07","2025-08-04","AUTO","","","","","","","","","","","","","","","","","","","","","INTEGRAL FISHiNG SERVICES, INC.","AVE. SAMUEL LEWIS, EDIFICIO MAGEL, PISO 2, OFICINA C.2","Panama","","PAN","INTEGRAL FISHiNG SERVICES, INC.","AVE. SAMUEL LEWIS, EDIFICIO MAGEL, PISO 2, OFICINA C.2","Panama","","PAN"
"AT0008775","AT000PAN00145","29233-03-F","9278612","IMO","HPFK","MYLO","PAN","PAN","","FO","NAP","113.37","4499.0","GRT","5879.67","m3","MYLO","2003","012","Panama","10.0","4012.06","IRIDIUM","","","","","","","","","","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-12-15","2025-12-15","2024-11-29","","","","","","","SEALAND TRADING SERVICE CORPORATION","MMG TOWER 23 rd FLOOR, AVENIDA DEL PACIFICO AND AVENIDA PASEO DEL MAR, COSTA DEL ESTE","PANAMA","","PAN","SEALAND TRADING SERVICE CORPORATION","MMG TOWER 23 rd FLOOR, AVENIDA DEL PACIFICO AND AVENIDA PASEO DEL MAR, COSTA DEL ESTE","PANAMA","","PAN"
"AT0006594","AT000PAN00155","48305-16-C","9442237","IMO","3ECO","PRINCESA GUASIMARA","PAN","PAN","","FO","NAP","72.13","1877.0","GRT","1830.0","m3","PRINCESA G.","2007","012","Panama","8.1","2345.84","IRIDIUM","","","","","","","","","","323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025-08-07","2026-08-08","2025-07-18","","","","","","","GOLDEN SEA TRADING LTD","A3TOWERS, BLOCK A3, LEVEL i4, APARTMENT 1428, TRIQ IL. KANONKU M BOLOGNA, PAOLA PTA 1211, MALTA","MALTA","","EU-MLT","GOLDEN SEA TRADING LTD","A3TOWERS, BLOCK A3, LEVEL i4, APARTMENT 1428, TRIQ IL. KANONKU M BOLOGNA, PAOLA PTA 1211, MALTA","MALTA","","EU-MLT"
"AT0024360","AT000PAN00163","46403-14-C","9666481","IMO","3ELC8","IBUKI","PAN","PAN","","FO","NAP","127.81","6558.0","GRT","8043.0","m3","IBUKI","2013","012","Panama","10.3","6099.2","IRIDIUM","","","","","","","","","","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024-12-10","2025-12-03","2025-01-08","","","","","","","STAR NAVIGATION S.A.","MMG TOWER 16TH FLOOR, 53RD E STREET, URBANIZACION MARBELLA","Panama","","PAN","STAR NAVIGATION S.A.","MMG TOWER 16TH FLOOR, 53RD E STREET, URBANIZACION MARBELLA","Panama","","PAN"
"AT0006425","AT000PAN00199","47255-15-C","9453418","IMO","3EQX2","LADY TUNA","PAN","PAN","","FO","NAP","113.37","4538.0","GRT","5216.9","m3","LADY TUNA","2007","012","PAN","10.0","4012.06","IRIDIUM","","","","","","","","","","333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025-08-18","2026-08-18","2025-07-24","","","","","","","WANG TAT CORPORATION PTE. LTD.","10 ANSON ROAD #29-07 INTERNATIONAL PLAZA","SINGAPORE","79903","SGP","WANG TAT CORPORATION PTE. LTD.","10 ANSON ROAD #29-07 INTERNATIONAL PLAZA","SINGAPORE","79903","SGP"
"AT0036515","AT000PAN00201","45720-14-D","8304749","IMO","HP3077","IRENE","PAN","PAN","","SV","NAP","35.1","339.0","GRT","","un","IRENE","1983","070","Panama","4.4","1872.65","IRIDIUM","207","","","","","","","","","","","","2024-04-14","2026-04-14","2024-04-26","AUTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ATUNERA NACIONAL, SOCIEDAD ANÓNIMA","18 CALLE 24-69 OFICINA 609, EDIFICIO EMPRESARIAL ZONA PRADERA, TORRE II, SEXTO NIVEL","ZONA 10","","GTM","ATUNERA NACIONAL, SOCIEDAD ANÓNIMA","18 CALLE 24-69 OFICINA 609, EDIFICIO EMPRESARIAL ZONA PRADERA, TORRE II, SEXTO NIVEL","ZONA 10","","GTM"
"AT0056506","AT000PAN00226","51299-20-B","9857030","IMO","HP6426","SYDNEY SOFIA","PAN","PAN","","SP","PS","44.54","861.0","GRT","892.49","un","SYDNEY SOFIA","2018","118","PAN","6.9","2573.73","INMSAT-C","251","","","","","251","","","","","","","2024-05-28","2026-05-28","2025-06-30","EXPL","","","","","","","","","","","","","2024-05-28","2026-05-28","2025-06-30","EXPL","","","","","","","","","","","","","","","","","","","","","OSPREY FISHERIES, S.A.","PUERTO DE VACAMONTE, ARRAIJAN, CIUDAD DE PANAMA","PANAMA","","PAN","OSPREY FISHERIES, S.A.","PUERTO DE VACAMONTE, ARRAIJAN, CIUDAD DE PANAMA","PANAMA","","PAN"
"AT0060198","AT000PAN00233","49886-18-C","9832523","IMO","3EDY4","ASTRAEA","PAN","PAN","","FO","NAP","77.1","2164.0","GRT","1794.9","m3","ASTRAEA","2018","012","Panama","8.1","2563.0","IRIDIUM","","","","","","","","","","310","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025-07-26","2026-07-26","2025-07-18","","","","","","","KFC SHIPPING S.A.","C/O KANETOMO CO., LTD. 698-1 HIRASHIMA, FUJIEDA-SHI,SHIZUOKA-KEN, JAPAN","HIRASHIMA","","JPN","KFC SHIPPING S.A.","C/O KANETOMO CO., LTD. 698-1 HIRASHIMA, FUJIEDA-SHI,SHIZUOKA-KEN, JAPAN","HIRASHIMA","","JPN"
"AT0060448","AT000PAN00240","50229-19-B","9851581","IMO","3FXL7","YACHIYO","PAN","PAN","","FO","NAP","127.81","6607.0","GRT","8027.2","m3","YACHIYO","2019","012","Panama","10.3","6099.2","IRIDIUM","","","","","","","","","","148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025-03-05","2026-02-14","2025-03-07","","","","","","","STAR NAVIGATION S.A.","MMG TOWER 16TH FLOOR, 53RD E STREET, URBANIZACION MARBELLA","Panama","","PAN","STAR NAVIGATION S.A.","MMG TOWER 16TH FLOOR, 53RD E STREET, URBANIZACION MARBELLA","Panama","","PAN"
"AT0007028","AT000PAN00307","51220-20-B","9459591","IMO","3FSL8","TAIHO MARU","PAN","PAN","","FO","NAP","89.55","3858.0","GRT","4967.7","m3","TAIHO MARU","2008","012","Panama","9.9","4356.57","IRIDIUM","","","","","","","","","","181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025-03-19","2026-03-19","2025-02-25","","","","","","","PRINCESS LINE S.A.","HAYAMA SHIPPING LTD. SHINBASHIMORI BLDG 5-19-2 SHINBASHI, MINATO-KU","Tokyo","105-0003","JPN","PRINCESS LINE S.A.","HAYAMA SHIPPING LTD. SHINBASHIMORI BLDG 5-19-2 SHINBASHI, MINATO-KU","Tokyo","105-0003","JPN"
